"","T_MAPCODE","RoD","B1i_rod","B2i_rod","B1i_inv","B2i_inv","B1iii_sp","B2iii_sp","B1_fin","B2_fin","B1_source","B2_source"
"158","FFs27",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"159","FFs28",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"160","FFs29",0.6,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"161","FFs3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"162","FFs30",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"163","FFs31",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"164","FFs32",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"165","FFs4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"166","FFs5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"167","FFs6",0.1,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"168","FFs7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"169","FFs8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"170","FFs9",0,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"171","FFt1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"172","FFt2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"173","FRa1",0.8,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"174","FRa2",0.3,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"175","FRc1",1.2,"EN","CR","LC","LC","EN","CR","EN","CR","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"176","FRc2",1,"EN","EN","LC","LC","EN","EN","EN","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"177","FRd1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"178","FRd2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"179","FRg1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"180","FRg2",1.1,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"181","FRg3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"182","FRl1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"183","FRs1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"184","FRs10",1.2,"CR","CR","LC","LC","CR","CR","CR","CR","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"185","FRs11",1.1,"CR","VU","LC","LC","CR","VU","CR","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"186","FRs12",1.2,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"187","FRs13",1.1,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"188","FRs14",0.6,"CR","VU","LC","LC","LC","LC","CR","VU","B1i_rod","B2i_rod"
"189","FRs15",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"190","FRs16",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"191","FRs17",0.7,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"192","FRs18",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"193","FRs19",0.4,"EN","EN","LC","LC","LC","LC","EN","EN","B1i_rod","B2i_rod"
"194","FRs2",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"195","FRs20",0.9,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"196","FRs3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"197","FRs4",0.5,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"198","FRs5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"199","FRs6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"200","FRs7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"201","FRs8",0.3,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
"202","FRs9",1.2,"EN","LC","LC","LC","EN","LC","EN","LC","B1i_rod, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"203","FS1",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"204","FS10",0.1,"LC","LC","EN","VU","LC","LC","EN","VU","B1i_inv","B2i_inv"
"205","FS11",0,"LC","LC","CR","EN","LC","LC","CR","EN","B1i_inv","B2i_inv"
"206","FS12",0.2,"LC","LC","EN","EN","LC","LC","EN","EN","B1i_inv","B2i_inv"
"207","FS13",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"208","FS14",0.2,"LC","LC","CR","EN","LC","LC","CR","EN","B1i_inv","B2i_inv"
"209","FS2",0.6,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"210","FS3",0.5,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"211","FS4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"212","FS5",0.1,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
"213","FS6",1,"EN","EN","EN","EN","EN","EN","EN","EN","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"214","FS7",0.2,"LC","LC","EN","EN","EN","EN","EN","EN","B1i_inv, B1iii_sp","B2i_inv, B2iii_sp"
"215","FS9",0.5,"CR","CR","CR","CR","LC","LC","CR","CR","B1i_rod, B1i_inv","B2i_rod, B2i_inv"
"216","Gd1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"217","Gd10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"218","Gd2",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"219","Gd3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"220","Gd4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"221","Gd5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"222","Gd6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"223","Gd7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"224","Gd8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"225","Gd9",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"226","Gh1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"227","Gh10",0.6,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"228","Gh11",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"229","Gh12",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"230","Gh13",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"231","Gh14",0.4,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"232","Gh15",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"233","Gh2",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"234","Gh3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"235","Gh4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"236","Gh5",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"237","Gh6",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"238","Gh7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"239","Gh8",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"240","Gh9",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"241","Gm1",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"242","Gm10",1.3,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"243","Gm11",0.5,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"244","Gm12",0.7,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"245","Gm13",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"246","Gm14",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"247","Gm15",0.8,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"248","Gm16",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"249","Gm17",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"250","Gm19",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"251","Gm2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"252","Gm20",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"253","Gm21",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"254","Gm22",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"255","Gm23",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"256","Gm24",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"257","Gm25",0.6,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"258","Gm26",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"259","Gm27",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"260","Gm28",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"261","Gm29",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"262","Gm3",0.4,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"263","Gm30",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"264","Gm31",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"265","Gm4",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"266","Gm5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"267","Gm6",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"268","Gm7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"269","Gm8",0.5,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"270","Gm9",0.7,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"271","Gs1",0.5,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"272","Gs10",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"273","Gs11",0.5,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"274","Gs12",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"275","Gs13",0.6,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"276","Gs14",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"277","Gs15",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"278","Gs16",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"279","Gs17",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"280","Gs18",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"281","Gs19",0.4,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"282","Gs2",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"283","Gs20",0.5,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"284","Gs3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"285","Gs4",0.4,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"286","Gs6",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"287","Gs7",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"288","Gs8",0.5,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"289","Gs9",0.7,"VU","LC","LC","LC","LC","LC","VU","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"290","CB1",0.6,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"291","CB2",0.6,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"292","CB3",1.3,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"293","CB4",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"294","CB5",0.4,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"295","CB6",0.5,"EN","VU","EN","VU","LC","LC","EN","VU","B1i_rod, B1i_inv","B2i_rod, B2i_inv"
"296","NKb1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"297","NKb2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"298","NKb3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"299","NKb4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"300","NKb5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"301","NKb6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"302","NKl1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"303","NKl2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"304","NKl4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"305","NKu1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"306","NKu2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"307","NKu3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"308","NKu4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"309","SVcb1",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"310","SVcb10",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"311","SVcb11",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"312","SVcb12",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"313","SVcb13",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"314","SVcb14",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"315","SVcb15",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
