"","T_MAPCODE","RoD","B1i_rod","B2i_rod","B1i_inv","B2i_inv","B1iii_sp","B2iii_sp","B1_fin","B2_fin","B1_source","B2_source"
"316","SVcb16",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"317","SVcb17",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"318","SVcb18",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"319","SVcb19",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"320","SVcb2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"321","SVcb20",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"322","SVcb21",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"323","SVcb22",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"324","SVcb23",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"325","SVcb24",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"326","SVcb25",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"327","SVcb26",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"328","SVcb27",0.8,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"329","SVcb28",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"330","SVcb29",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"331","SVcb3",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"332","SVcb4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"333","SVcb5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"334","SVcb6",0.9,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"335","SVcb7",0.4,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"336","SVcb8",0.6,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"337","SVcb9",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"338","SVk1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"339","SVk10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"340","SVk11",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"341","SVk12",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"342","SVk13",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"343","SVk14",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"344","SVk15",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"345","SVk16",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"346","SVk17",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"347","SVk18",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"348","SVk2",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"349","SVk3",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"350","SVk4",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"351","SVk5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"352","SVk6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"353","SVk7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"354","SVk8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"355","SVk9",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"356","SVkd1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"357","SVkd2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"358","SVkd3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"359","SVkd4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"360","SVl1",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"361","SVl10",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"362","SVl11",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"363","SVl12",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"364","SVl13",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"365","SVl14",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"366","SVl15",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"367","SVl16",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"368","SVl17",0.8,"EN","EN","LC","LC","LC","LC","EN","EN","B1i_rod","B2i_rod"
"369","SVl18",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"370","SVl19",0.5,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"371","SVl2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"372","SVl20",0.8,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"373","SVl21",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"374","SVl22",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"375","SVl23",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"376","SVl24",0.7,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"377","SVl25",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"378","SVl26",0.5,"CR","VU","LC","LC","LC","LC","CR","VU","B1i_rod","B2i_rod"
"379","SVl27",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"380","SVl3",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"381","SVl4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"382","SVl5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"383","SVl6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"384","SVl7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"385","SVl8",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"386","SVl9",0.5,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"387","SVmp1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"388","SVmp2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"389","SVmp3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"390","SVmp4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"391","SVmp5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"392","SVmp6",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"393","SVmp7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"394","SVmp8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"395","SVs1",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"396","SVs2",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"397","SVs3",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"398","SVs4",0.4,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"399","SVs5",1,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"400","SVs6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"401","SVs7",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"402","SVs8",0.4,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"403","SKk1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"404","SKk2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"405","SKk3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"406","SKk4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"407","SKk5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"408","SKk6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"409","SKk7",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"410","SKk8",0.9,"CR","CR","LC","LC","LC","LC","CR","CR","B1i_rod","B2i_rod"
"411","SKk9",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"412","SKn1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"413","SKn2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"414","SKn3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"415","SKn4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"416","SKn5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"417","SKn6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"418","SKn7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"419","SKr1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"420","SKr10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"421","SKr11",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"422","SKr12",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"423","SKr13",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"424","SKr14",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"425","SKr15",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"426","SKr16",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"427","SKr17",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"428","SKr18",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"429","SKr19",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"430","SKr2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"431","SKr3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"432","SKr4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"433","SKr5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"434","SKr6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"435","SKr7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"436","SKr8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"437","SKr9",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"438","SKs1",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"439","SKs10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"440","SKs11",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"441","SKs12",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"442","SKs13",0.5,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"443","SKs14",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"444","SKs2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"445","SKs3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"446","SKs4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"447","SKs5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"448","SKs6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"449","SKs7",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"450","SKs8",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"451","SKs9",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"452","SKt1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"453","SKt2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"454","SKt3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"455","SKv1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"456","SKv10",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"457","SKv11",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"458","SKv13",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"459","SKv14",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"460","SKv2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"461","SKv3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"462","SKv4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"463","SKv5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"464","SKv6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"465","SKv7",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"466","SKv8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
