"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"1","AT15","LC","D3_step; D3_inv",0,0.0281856354804183,"LC"
"2","AT16","LC","D3_step; D3_inv",0,0.0192554256051035,"LC"
"3","AT17","LC","D3_step; D3_inv",3,0.0825571314630509,"LC"
"4","AT18","LC","D3_step; D3_inv",16,0.0793810519349182,"LC"
"5","AT19","LC","D3_step; D3_inv",19,0.0150706367820578,"LC"
"6","AT20","LC","D3_nmb; D3_inv",17,0.0522558195344373,"LC"
"7","AT21","LC","D3_step; D3_inv",0,0.142048056980819,"LC"
"8","AT22","LC","D3_step; D3_inv",5,0.0991679365519152,"LC"
"9","AT23","LC","D3_step; D3_inv",0,0.0000447294538980974,"LC"
"10","AT24","LC","D3_step; D3_inv",0,0.00472955371389826,"LC"
"11","AT25","LC","D3_step; D3_inv",0,0.00230132422386963,"LC"
"12","AT26","LC","D3_step; D3_inv",0,0.264002121031352,"LC"
"13","AT27","LC","D3_step; D3_inv",33,0.00532898469809895,"LC"
"14","AT28","LC","D3_step; D3_inv",19,0.0395511279056453,"LC"
"15","AT29","LC","D3_step; D3_inv",43,0.000875977793285906,"LC"
"16","AT30","LC","D3_step; D3_inv",12,0.00538599411250715,"LC"
"17","AT31","LC","D3_step; D3_inv",2,0.061045880987269,"LC"
"18","AT32","LC","D3_step; D3_inv",38,0.00771700482562029,"LC"
"19","AT33","LC","D3_step; D3_inv",25,0.00132542704532233,"LC"
"20","AT34","LC","D3_lk; D3_inv",7,0.00650939545010329,"LC"
"21","AT35","LC","D3_step; D3_inv",0,0.0352446882619296,"LC"
"22","AT36","LC","D3_step; D3_inv",1,0.295359557054737,"LC"
"23","AT37","LC","D3_step; D3_inv",1,0.09982737695897,"LC"
"24","AT38","LC","D3_step; D3_inv",0,0.0776350926114649,"LC"
"25","AT39","LC","D3_step; D3_inv",0,0.0244478855583822,"LC"
"26","AT40","LC","D3_step; D3_inv",0,0.155642110717679,"LC"
"27","AT41","LC","D3_step; D3_inv",1,0.080276871209089,"LC"
"28","AT42","LC","D3_step; D3_inv",0,0.0270015310146452,"LC"
"29","AT43","LC","D3_lk; D3_inv",9,0.00396599714135259,"LC"
"30","AT44","LC","D3_nmb; D3_inv",3,0.0395603839684326,"LC"
"31","AT45","LC","D3_step; D3_inv",0,0.0231120311901851,"LC"
"32","AT46","LC","D3_step; D3_inv",0,0.000300687160730692,"LC"
"33","AT47","LC","D3_step; D3_inv",2,0.00232329925647202,"LC"
"34","AT48","LC","D3_nmb; D3_inv",4,0.450561105788969,"LC"
"35","AT49","VU","D3_step; D3_inv",71,0.00224488898907367,"LC"
"36","AT50","LC","D3_step; D3_inv",5,0.0511327744865382,"LC"
"37","AT51","LC","D3_step; D3_inv",20,0.069590727660086,"LC"
"38","AT52","LC","D3_step; D3_inv",0,0.0606449394211946,"LC"
"39","AT53","LC","D3_step; D3_inv",0,0.166215497655532,"LC"
"40","AT54","LC","D3_step; D3_inv",0,0.0866288226233537,"LC"
"41","AT55","LC","D3_lk; D3_inv",13,0.000826863517357661,"LC"
"42","AT56","LC","D3_step; D3_inv",0,0.0873563040777836,"LC"
"43","AT57","LC","D3_step; D3_inv",2,0.195512067148392,"LC"
"44","AT58","LC","D3_step; D3_inv",0,0.000330257770331471,"LC"
"45","AZa1","LC","D3_inv",0,0.0291420150878659,"LC"
"46","AZa2","LC","D3_inv",0,0.318271809827463,"LC"
"47","AZa3","LC","D3_inv",0,0.112114197123979,"LC"
"48","AZa4","LC","D3_inv",0,0.104955668509647,"LC"
"49","AZa5","LC","D3_inv",0,0.0137779068928459,"LC"
"50","AZa6","LC","D3_step; D3_inv",0,0.0480901277350316,"LC"
"51","AZa7","LC","D3_inv",0,0.0144315961889974,"LC"
"52","AZd1","LC","",0,NA,NA
"53","AZd2","LC","",0,NA,NA
"54","AZd3","LC","D3_inv",0,0.00114860708159013,"LC"
"55","AZd4","LC","D3_inv",0,0.000319756376094404,"LC"
"56","AZi1","LC","D3_inv",0,0.0429351012342354,"LC"
"57","AZi3","LC","D3_inv",0,0.00123032477941796,"LC"
"58","AZi5","LC","D3_inv",0,0.011713134131909,"LC"
"59","AZi6","LC","D3_inv",0,0.00650605312909208,"LC"
"60","AZi7","LC","D3_inv",0,0.00566589146645927,"LC"
"61","AZi8","LC","D3_inv",0,0.0654699137770334,"LC"
"62","AZs3","LC","D3_inv",0,0.163180755095222,"LC"
"63","CB1","LC","D3_inv",0,0.0350187616810082,"LC"
"64","CB2","LC","D3_inv",0,0.0271655816857482,"LC"
"65","CB3","LC","D3_inv",0,0.294099483277159,"LC"
"66","CB4","LC","D3_inv",0,0.0607614776324837,"LC"
"67","CB5","LC","D3_inv",0,0.0817865710474213,"LC"
"68","CB6","LC","D3_inv",0,0.358185147816147,"LC"
"69","Dg1","LC","D3_inv",0,0,"LC"
"70","Dg10","LC","D3_inv",0,0.000161974429918136,"LC"
"71","Dg2","LC","D3_inv",0,0,"LC"
"72","Dg3","LC","D3_inv",0,0,"LC"
"73","Dg4","LC","",0,NA,NA
"74","Dg5","LC","D3_inv",0,0,"LC"
"75","Dg6","LC","",0,NA,NA
"76","Dg7","LC","D3_inv",0,0,"LC"
"77","Dg8","LC","D3_inv",0,0,"LC"
"78","Dg9","LC","D3_inv",0,0.0000867924578689381,"LC"
"79","Dn1","LC","D3_inv",0,0,"LC"
"80","Dn2","LC","",0,NA,NA
"81","Dn3","LC","D3_inv",0,0,"LC"
"82","Dn4","LC","D3_inv",0,0,"LC"
"83","Dn5","LC","D3_inv",0,0,"LC"
"84","FFa1","LC","D3_inv",0,0.0251346227918464,"LC"
"85","FFa2","LC","D3_inv",0,0.165440253805905,"LC"
"86","FFa3","LC","D3_inv",0,0.149086566676107,"LC"
"87","FFa4","LC","D3_coct; D3_inv",21,0.193869582194455,"LC"
"88","FFb1","LC","D3_inv",0,0.00616671029783305,"LC"
"89","FFb2","LC","D3_inv",0,0.109039458125466,"LC"
"90","FFb3","LC","D3_step; D3_inv",0,0.00809667290301187,"LC"
"91","FFb4","LC","D3_inv",0,0.111882316378328,"LC"
"92","FFb5","LC","D3_step; D3_inv",0,0.0216810539146115,"LC"
"93","FFb6","LC","D3_step; D3_inv",0,0.21983053163865,"LC"
"94","FFc1","LC","D3_inv",0,0.224280701609923,"LC"
"95","FFd1","LC","D3_inv",0,0.00193625013011948,"LC"
"96","FFd10","LC","D3_step; D3_inv",0,0.230937667920473,"LC"
"97","FFd11","LC","D3_step; D3_inv",0,0.580371483601805,"LC"
"98","FFd2","LC","D3_inv",0,0.0247607653606103,"LC"
"99","FFd3","LC","D3_inv",0,0.0747608322648649,"LC"
"100","FFd4","LC","D3_inv",0,0.364765267014061,"LC"
"101","FFd5","LC","D3_coct; D3_inv",44,0.345090360767898,"LC"
"102","FFd6","LC","D3_inv",0,0.189263042429712,"LC"
"103","FFd7","LC","D3_inv",0,0.164401196502839,"LC"
"104","FFd8","LC","D3_inv",0,0.0510741791649777,"LC"
"105","FFd9","LC","D3_inv",0,0.0988637981216249,"LC"
"106","FFf1","LC","D3_inv",0,0.258979594633485,"LC"
"107","FFf2","LC","D3_inv",0,0.214554087530966,"LC"
"108","FFg1","LC","D3_inv",0,0.00032488628979857,"LC"
"109","FFg2","LC","D3_inv",0,0.187548467774474,"LC"
"110","FFg3","LC","D3_coct; D3_inv",13,0.165513308472057,"LC"
"111","FFg4","LC","D3_inv",0,0.142984491736473,"LC"
"112","FFg5","LC","D3_step; D3_inv",0,0.351528045115321,"LC"
"113","FFh1","LC","D3_inv",0,0.0208838448367099,"LC"
"114","FFh10","LC","D3_step; D3_inv",0,0.0352381952909245,"LC"
"115","FFh11","LC","D3_coct; D3_inv",0,0.158008496683312,"LC"
"116","FFh2","LC","",0,NA,NA
"117","FFh3","LC","D3_step; D3_inv",0,0.0210472762902527,"LC"
"118","FFh4","LC","D3_inv",0,0.123238073909055,"LC"
"119","FFh5","LC","D3_inv",0,0.241944764096663,"LC"
"120","FFh6","LC","D3_inv",0,0.270352267985933,"LC"
"121","FFh7","LC","D3_inv",0,0.126691232048375,"LC"
"122","FFh8","LC","D3_inv",0,0.0208884876546629,"LC"
"123","FFh9","LC","D3_step; D3_inv",0,0.40052542019668,"LC"
"124","FFl1","LC","D3_inv",0,0.336300224818258,"LC"
"125","FFl2","LC","D3_inv",0,0.182478993679664,"LC"
"126","FFl3","LC","D3_inv",0,0.136855032196572,"LC"
"127","FFq1","LC","",0,NA,NA
"128","FFq2","LC","D3_inv",0,0.00043625291391721,"LC"
"129","FFq3","LC","D3_inv",0,0.000216673974479198,"LC"
"130","FFq4","LC","D3_inv",0,0.00467910925002847,"LC"
"131","FFq5","LC","D3_step; D3_inv",1,0.000442165658896363,"LC"
"132","FFq6","LC","D3_step; D3_inv",0,0.047876226117079,"LC"
"133","FFs1","LC","D3_inv",0,0.0168745315544896,"LC"
"134","FFs10","LC","D3_inv",0,0.0622141983276723,"LC"
"135","FFs11","LC","D3_inv",0,0.0468411027038468,"LC"
"136","FFs12","LC","D3_inv",0,0.123548573910526,"LC"
"137","FFs13","LC","D3_inv",0,0.0246922492109446,"LC"
"138","FFs14","LC","D3_inv",0,0.138762168828346,"LC"
"139","FFs15","LC","D3_inv",0,0.0218404054562177,"LC"
"140","FFs16","LC","D3_inv",0,0.0987277041400753,"LC"
"141","FFs17","LC","D3_inv",0,0.0765454255404004,"LC"
"142","FFs18","LC","D3_step; D3_inv",0,0.0647758264050894,"LC"
"143","FFs19","LC","D3_step; D3_inv",0,0.180514896209862,"LC"
"144","FFs2","LC","D3_inv",0,0.0162503279027659,"LC"
"145","FFs20","LC","D3_step; D3_inv",0,0.193448144416358,"LC"
"146","FFs21","LC","D3_lk; D3_inv",3,0.00219470077235859,"LC"
"147","FFs22","LC","D3_lk; D3_inv",1,0.00289534813719975,"LC"
"148","FFs23","LC","D3_inv",0,0.000523337446283453,"LC"
"149","FFs24","LC","D3_inv",0,0.00361947233984676,"LC"
"150","FFs25","LC","D3_lk; D3_inv",0,0.00253365616496809,"LC"
"151","FFs26","LC","D3_lk; D3_inv",0,0.0191999554137465,"LC"
"152","FFs27","LC","D3_step; D3_inv",0,0.0101490944517183,"LC"
"153","FFs28","LC","D3_step; D3_inv",0,0.0175794769955046,"LC"
"154","FFs29","LC","D3_nmb; D3_inv",31,0.140651816660237,"LC"
"155","FFs3","LC","D3_inv",0,0.0208802606538334,"LC"
"156","FFs30","LC","D3_inv",0,0.0000293486729063724,"LC"
"157","FFs31","LC","D3_step; D3_inv",0,0.000124040165386887,"LC"
"158","FFs32","LC","D3_inv",0,0.00547990363317385,"LC"
"159","FFs4","LC","D3_inv",0,0.00743958550292132,"LC"
"160","FFs5","LC","D3_inv",0,0.00958605884206536,"LC"
"161","FFs6","LC","D3_inv",0,0.0280038628994405,"LC"
"162","FFs7","LC","D3_inv",0,0.00735577073364759,"LC"
"163","FFs8","LC","D3_inv",0,0.0134223915351423,"LC"
"164","FFs9","LC","D3_coct; D3_inv",1,0.0405488104842677,"LC"
"165","FFt1","LC","D3_step; D3_inv",0,0.00801962694849366,"LC"
"166","FFt2","LC","D3_step; D3_inv",0,0.0213536537813349,"LC"
"167","FOa1","LC","D3_inv",0,0.00468306839918211,"LC"
"168","FOa2","LC","D3_inv",0,0.00380956563266785,"LC"
"169","FOa3","LC","D3_inv",0,0.00136200019457146,"LC"
"170","FOz1","LC","D3_step; D3_inv",0,0.0323711033640614,"LC"
"171","FOz2","LC","D3_inv",0,0.0280362765649531,"LC"
"172","FOz3","LC","D3_inv",0,0.0385190860825428,"LC"
"173","FOz4","LC","D3_inv",0,0.0432909303368795,"LC"
"174","FOz5","LC","D3_inv",0,0.0138661895795585,"LC"
"175","FOz6","LC","D3_inv",0,0.0146141756907893,"LC"
"176","FOz7","LC","D3_inv",0,0.00360812850374911,"LC"
"177","FOz8","LC","D3_inv",0,0.000548629000692746,"LC"
"178","FOz9","LC","",0,NA,NA
"179","FRa1","LC","D3_inv",0,0.102381329168358,"LC"
"180","FRa2","LC","D3_inv",0,0.150000547447253,"LC"
"181","FRc1","LC","D3_inv",0,0.102890173410405,"LC"
"182","FRc2","LC","D3_inv",0,0.0938197515266372,"LC"
"183","FRd1","LC","D3_inv",0,0.0027479547510211,"LC"
"184","FRd2","LC","D3_inv",0,0.00072949111096331,"LC"
"185","FRg1","LC","D3_inv",0,0.00102061806731332,"LC"
"186","FRg2","LC","D3_inv",0,0.18064563085345,"LC"
"187","FRg3","LC","D3_inv",0,0.108175987086634,"LC"
"188","FRl1","LC","D3_lk; D3_inv",21,0.0190671561417506,"LC"
"189","FRs1","LC","D3_inv",0,0.0139517991659117,"LC"
"190","FRs10","LC","D3_coct; D3_inv",7,0.0875378004138151,"LC"
"191","FRs11","LC","D3_inv",0,0.175503694236886,"LC"
"192","FRs12","LC","D3_inv",0,0.139532316974715,"LC"
"193","FRs13","LC","D3_inv",0,0.112314639576675,"LC"
"194","FRs14","LC","D3_step; D3_inv",0,0.176418456005478,"LC"
"195","FRs15","LC","D3_step; D3_inv",0,0.00231112153918348,"LC"
"196","FRs16","LC","D3_step; D3_inv",0,0.00554062758577716,"LC"
"197","FRs17","LC","D3_step; D3_inv",0,0.191890763112291,"LC"
"198","FRs18","LC","D3_step; D3_inv",0,0.000301660650306211,"LC"
"199","FRs19","LC","D3_step; D3_inv",0,0.0623821290287817,"LC"
"200","FRs2","LC","D3_inv",0,0.0063945776435138,"LC"
"201","FRs20","LC","D3_inv",0,0.0299024236701291,"LC"
"202","FRs3","LC","D3_inv",0,0.000431602611519788,"LC"
"203","FRs4","LC","D3_inv",0,0.0233022863263228,"LC"
"204","FRs5","LC","D3_inv",0,0.000496690288087039,"LC"
"205","FRs6","LC","D3_inv",0,0.00128862732791599,"LC"
"206","FRs7","LC","D3_inv",0,0.00755368852306927,"LC"
"207","FRs8","LC","D3_inv",0,0.0268725145227462,"LC"
"208","FRs9","LC","D3_inv",0,0.129303040324319,"LC"
"209","FS1","LC","D3_inv",0,0.00758465087874058,"LC"
"210","FS10","LC","D3_inv",0,0.322533726950796,"LC"
"211","FS11","LC","D3_inv",0,0.391023626039343,"LC"
"212","FS12","LC","D3_step; D3_inv",0,0.373151778336469,"LC"
"213","FS13","LC","D3_step; D3_inv",2,0.166786173615142,"LC"
"214","FS14","LC","D3_step; D3_inv",3,0.564783286472536,"LC"
"215","FS2","LC","D3_inv",0,0.00708517018200765,"LC"
"216","FS3","LC","D3_inv",0,0.0338201611159393,"LC"
"217","FS4","LC","D3_inv",0,0.00161519576172632,"LC"
"218","FS5","LC","D3_inv",0,0.0420299193722338,"LC"
"219","FS6","LC","D3_coct; D3_inv",20,0.378594001498206,"LC"
"220","FS7","LC","D3_inv",0,0.411619744604585,"LC"
"221","FS9","LC","D3_step; D3_inv",0,0.511763373353613,"LC"
